Model Year,Make,Model,Electric Vehicle Type,Electric Range,Base MSRP,Price Category
2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16.0,56426.41975308642,Normal
2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),16.0,56426.41975308642,Normal
2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,56426.41975308642,Normal
2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),25.0,56426.41975308642,Normal
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),308.0,56426.41975308642,Normal
2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),21.0,56426.41975308642,Normal
2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,56426.41975308642,Normal
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,56426.41975308642,Normal
2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),23.0,56426.41975308642,Normal
2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,56426.41975308642,Normal
2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,56426.41975308642,Normal
2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,56426.41975308642,Normal
2022,KIA,EV6,Battery Electric Vehicle (BEV),0.0,56426.41975308642,Normal
2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,56426.41975308642,Normal
2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,56426.41975308642,Normal
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,56426.41975308642,Normal
2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,56426.41975308642,Normal
2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),18.0,56426.41975308642,Normal
2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0.0,56426.41975308642,Normal
2015,FIAT,500,Battery Electric Vehicle (BEV),87.0,56426.41975308642,Normal
2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151.0,56426.41975308642,Normal
2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),0.0,56426.41975308642,Normal
2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26.0,56426.41975308642,Normal
2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,56426.41975308642,Normal
2017,FIAT,500,Battery Electric Vehicle (BEV),84.0,56426.41975308642,Normal
2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,56426.41975308642,Normal
2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),238.0,56426.41975308642,Normal
2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0.0,56426.41975308642,Normal
2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),107.0,56426.41975308642,Normal
2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),0.0,56426.41975308642,Normal
2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,56426.41975308642,Normal
2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),204.0,56426.41975308642,Normal
2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),293.0,56426.41975308642,Normal
2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238.0,56426.41975308642,Normal
2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),0.0,56426.41975308642,Normal
2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,56426.41975308642,Normal
2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,56426.41975308642,Normal
2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0.0,56426.41975308642,Normal
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),322.0,56426.41975308642,Normal
2020,KIA,NIRO,Battery Electric Vehicle (BEV),239.0,56426.41975308642,Normal
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,56426.41975308642,Normal
2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),151.0,56426.41975308642,Normal
2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,56426.41975308642,Normal
2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),18.0,56426.41975308642,Normal
2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),25.0,56426.41975308642,Normal
2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,56426.41975308642,Normal
2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),75.0,56426.41975308642,Normal
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,56426.41975308642,Normal
2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),19.0,56426.41975308642,Normal
2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38.0,56426.41975308642,Normal
2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0.0,56426.41975308642,Normal
2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0.0,56426.41975308642,Normal
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,56426.41975308642,Normal
2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238.0,56426.41975308642,Normal
2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238.0,56426.41975308642,Normal
2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),200.0,56426.41975308642,Normal
2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),0.0,56426.41975308642,Normal
2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),21.0,56426.41975308642,Normal
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,56426.41975308642,Normal
2024,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),22.0,56426.41975308642,Normal
2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259.0,56426.41975308642,Normal
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,56426.41975308642,Normal
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),308.0,56426.41975308642,Normal
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,56426.41975308642,Normal
2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),84.0,56426.41975308642,Normal
2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),19.0,56426.41975308642,Normal
2023,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),39.0,56426.41975308642,Normal
2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266.0,56426.41975308642,Normal
2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),238.0,56426.41975308642,Normal
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,56426.41975308642,Normal
2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),215.0,56426.41975308642,Normal
2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,56426.41975308642,Normal
2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),22.0,56426.41975308642,Normal
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,56426.41975308642,Normal
2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),208.0,56426.41975308642,Normal
2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),150.0,56426.41975308642,Normal
2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),210.0,56426.41975308642,Normal
2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),32.0,56426.41975308642,Normal
2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220.0,56426.41975308642,Normal
2024,BMW,IX,Battery Electric Vehicle (BEV),0.0,56426.41975308642,Normal
